date,home,away,actual,predicted,confidence,h_prob,d_prob,a_prob,n_warn,elo_diff,correct,liga
2025-01-25,RB Leipzig,Bayer Leverkusen,draw,away_win,0.3621,0.3306,0.3073,0.3621,1,-85.9,False,Bundesliga
2025-01-31,Werder Bremen,Mainz,home_win,home_win,0.4536,0.4536,0.3015,0.2449,1,119.4,True,Bundesliga
2025-02-01,Bayern Munich,Holstein Kiel,home_win,home_win,0.5671,0.5671,0.2529,0.1801,0,483.8,True,Bundesliga
2025-02-01,Bochum,Freiburg,away_win,draw,0.3915,0.2714,0.3915,0.3371,1,-69.7,False,Bundesliga
2025-02-01,FC Heidenheim,Borussia Dortmund,away_win,away_win,0.4474,0.2574,0.2952,0.4474,1,-194.8,True,Bundesliga
2025-02-01,Union Berlin,RB Leipzig,draw,away_win,0.4299,0.2806,0.2895,0.4299,1,-92.9,False,Bundesliga
2025-02-02,Bayer Leverkusen,Hoffenheim,home_win,home_win,0.4874,0.4874,0.2573,0.2553,0,256.0,True,Bundesliga
2025-02-07,Bayern Munich,Werder Bremen,home_win,home_win,0.6217,0.6217,0.2227,0.1556,0,307.5,True,Bundesliga
2025-02-08,Borussia Dortmund,Stuttgart,away_win,home_win,0.4875,0.4875,0.2481,0.2644,0,213.4,False,Bundesliga
2025-02-08,Freiburg,FC Heidenheim,home_win,home_win,0.4017,0.4017,0.327,0.2713,1,71.2,True,Bundesliga
2025-02-08,Hoffenheim,Union Berlin,away_win,home_win,0.5153,0.5153,0.2766,0.2081,0,122.8,False,Bundesliga
2025-02-08,Mainz,Augsburg,draw,draw,0.4089,0.3206,0.4089,0.2705,1,17.4,True,Bundesliga
2025-02-08,Wolfsburg,Bayer Leverkusen,draw,away_win,0.4072,0.3194,0.2734,0.4072,1,-166.3,False,Bundesliga
2025-02-09,Holstein Kiel,Bochum,draw,home_win,0.4136,0.4136,0.3501,0.2364,1,43.6,False,Bundesliga
2025-02-14,Augsburg,RB Leipzig,draw,draw,0.3762,0.2871,0.3762,0.3367,1,-30.0,True,Bundesliga
2025-02-15,Bochum,Borussia Dortmund,home_win,away_win,0.4905,0.2131,0.2964,0.4905,1,-293.3,False,Bundesliga
2025-02-15,Stuttgart,Wolfsburg,away_win,home_win,0.437,0.437,0.2857,0.2773,1,97.2,False,Bundesliga
2025-02-15,Bayer Leverkusen,Bayern Munich,draw,away_win,0.4227,0.3371,0.2402,0.4227,1,-28.4,False,Bundesliga
2025-02-16,Werder Bremen,Hoffenheim,away_win,draw,0.3542,0.3469,0.3542,0.2989,1,76.9,False,Bundesliga
2025-02-16,FC Heidenheim,Mainz,away_win,home_win,0.3878,0.3878,0.3375,0.2746,1,48.1,False,Bundesliga
2025-02-21,Freiburg,Werder Bremen,home_win,draw,0.4185,0.3134,0.4185,0.2681,1,-0.2,False,Bundesliga
2025-02-22,Holstein Kiel,Bayer Leverkusen,away_win,away_win,0.4282,0.296,0.2758,0.4282,1,-305.3,True,Bundesliga
2025-02-22,Wolfsburg,Bochum,draw,home_win,0.4733,0.4733,0.3323,0.1944,1,182.6,False,Bundesliga
2025-02-22,Borussia Dortmund,Union Berlin,home_win,home_win,0.5851,0.5851,0.2628,0.1521,0,323.1,True,Bundesliga
2025-02-23,RB Leipzig,FC Heidenheim,draw,home_win,0.4695,0.4695,0.3025,0.228,1,164.6,False,Bundesliga
2025-02-23,Hoffenheim,Stuttgart,draw,draw,0.3673,0.3521,0.3673,0.2807,1,13.1,True,Bundesliga
2025-02-28,Stuttgart,Bayern Munich,away_win,away_win,0.4844,0.2945,0.221,0.4844,0,-197.5,True,Bundesliga
2025-03-01,RB Leipzig,Mainz,away_win,home_win,0.5103,0.5103,0.2689,0.2208,0,162.6,False,Bundesliga
2025-03-01,Bochum,Hoffenheim,away_win,away_win,0.4178,0.2659,0.3163,0.4178,1,-93.0,True,Bundesliga
2025-03-01,Werder Bremen,Wolfsburg,away_win,home_win,0.3843,0.3843,0.3166,0.299,1,87.3,False,Bundesliga
2025-03-02,Union Berlin,Holstein Kiel,away_win,draw,0.384,0.3186,0.384,0.2975,1,126.6,False,Bundesliga
2025-03-02,Augsburg,Freiburg,draw,draw,0.3711,0.3416,0.3711,0.2873,1,63.4,True,Bundesliga
2025-03-08,Bayern Munich,Bochum,away_win,home_win,0.6548,0.6548,0.2361,0.1091,0,477.4,False,Bundesliga
2025-03-08,Borussia Dortmund,Augsburg,away_win,home_win,0.5517,0.5517,0.2664,0.1819,0,260.2,False,Bundesliga
2025-03-08,Holstein Kiel,Stuttgart,draw,draw,0.3525,0.3005,0.3525,0.347,1,-136.3,True,Bundesliga
2025-03-08,Bayer Leverkusen,Werder Bremen,away_win,home_win,0.5132,0.5132,0.2702,0.2167,0,229.1,False,Bundesliga
2025-03-08,Freiburg,RB Leipzig,draw,draw,0.3532,0.3179,0.3532,0.3289,1,-43.4,True,Bundesliga
2025-03-09,Hoffenheim,FC Heidenheim,draw,home_win,0.4542,0.4542,0.306,0.2398,1,94.5,False,Bundesliga
2025-03-15,Augsburg,Wolfsburg,home_win,draw,0.3881,0.3096,0.3881,0.3023,1,50.4,False,Bundesliga
2025-03-15,Mainz,Freiburg,draw,draw,0.3866,0.3158,0.3866,0.2976,1,30.8,True,Bundesliga
2025-03-15,Union Berlin,Bayern Munich,draw,away_win,0.6021,0.165,0.233,0.6021,0,-307.2,False,Bundesliga
2025-03-15,RB Leipzig,Borussia Dortmund,home_win,away_win,0.3624,0.3304,0.3072,0.3624,1,-80.2,False,Bundesliga
2025-03-16,FC Heidenheim,Holstein Kiel,home_win,home_win,0.3759,0.3759,0.3488,0.2754,1,154.9,True,Bundesliga
2025-03-16,Stuttgart,Bayer Leverkusen,away_win,away_win,0.3561,0.3409,0.303,0.3561,1,-119.1,True,Bundesliga
2025-03-28,Bayer Leverkusen,Bochum,home_win,home_win,0.5602,0.5602,0.2889,0.1509,0,398.9,True,Bundesliga
2025-03-29,Hoffenheim,Augsburg,draw,home_win,0.4701,0.4701,0.2809,0.249,1,59.9,False,Bundesliga
2025-03-29,Holstein Kiel,Werder Bremen,away_win,draw,0.3738,0.3113,0.3738,0.3149,1,-126.3,False,Bundesliga
2025-03-29,Wolfsburg,FC Heidenheim,away_win,home_win,0.42,0.42,0.3333,0.2467,1,84.1,False,Bundesliga
2025-03-30,Freiburg,Union Berlin,away_win,home_win,0.4566,0.4566,0.3028,0.2406,1,99.5,False,Bundesliga
2025-03-30,Borussia Dortmund,Mainz,home_win,home_win,0.5725,0.5725,0.2554,0.1721,0,292.8,True,Bundesliga
2025-04-04,Augsburg,Bayern Munich,away_win,away_win,0.5646,0.1985,0.2369,0.5646,0,-244.3,True,Bundesliga
2025-04-05,Bochum,Stuttgart,away_win,away_win,0.4371,0.256,0.3069,0.4371,1,-129.9,True,Bundesliga
2025-04-05,RB Leipzig,Hoffenheim,home_win,home_win,0.4256,0.4256,0.2677,0.3066,1,120.1,True,Bundesliga
2025-04-05,Mainz,Holstein Kiel,draw,draw,0.3735,0.3421,0.3735,0.2844,1,156.9,True,Bundesliga
2025-04-05,FC Heidenheim,Bayer Leverkusen,away_win,away_win,0.4469,0.2573,0.2957,0.4469,1,-200.4,True,Bundesliga
2025-04-05,Freiburg,Borussia Dortmund,away_win,away_win,0.4395,0.2932,0.2673,0.4395,1,-173.6,True,Bundesliga
2025-04-06,Union Berlin,Wolfsburg,home_win,draw,0.4222,0.2533,0.4222,0.3245,1,-12.5,False,Bundesliga
2025-04-11,Wolfsburg,RB Leipzig,away_win,draw,0.3709,0.3353,0.3709,0.2938,1,-30.4,False,Bundesliga
2025-04-12,Bochum,Augsburg,away_win,draw,0.4022,0.2782,0.4022,0.3196,1,-83.1,False,Bundesliga
2025-04-12,Bayern Munich,Borussia Dortmund,draw,home_win,0.567,0.567,0.1979,0.2351,0,134.1,False,Bundesliga
2025-04-12,Bayer Leverkusen,Union Berlin,draw,home_win,0.5829,0.5829,0.2643,0.1528,0,328.8,False,Bundesliga
2025-04-12,Hoffenheim,Mainz,home_win,home_win,0.4988,0.4988,0.2688,0.2324,0,92.5,True,Bundesliga
